,Prefix,Last,First,Suffix,FilingType,StateDst,Year,FilingDate,DocID
151,HONORABLE,DOYLE,MICHAEL F.,,O,PA14,2008,5/14/2008,8135696
152,HONORABLE,DRAKE,THELMA D.,,A,VA02,2008,8/12/2008,8139053
153,HONORABLE,DRAKE,THELMA D.,,O,VA02,2008,5/13/2008,8135697
154,HONORABLE,DREIER,DAVID,,O,CA26,2008,5/15/2008,8135698
155,HONORABLE,DUNCAN,JOHN J.,JR.,O,TN02,2008,5/13/2008,8135699
156,HONORABLE,EDWARDS,CHET,,O,TX17,2008,5/15/2008,8135700
157,HONORABLE,EHLERS,VERNON J.,,O,MI03,2008,5/15/2008,8135701
158,HONORABLE,ELLISON,KEITH,,O,MN05,2008,5/15/2008,8135702
159,HONORABLE,ELLSWORTH,BRAD,,O,IN08,2008,5/6/2008,8135740
160,HONORABLE,EMANUEL,RAHM,,O,IL05,2008,5/15/2008,8135704
161,HONORABLE,EMERSON,JO ANN,,O,MO08,2008,5/15/2008,8135705
162,HONORABLE,ENGEL,ELIOT L.,,O,NY17,2008,5/15/2008,8135706
163,HONORABLE,ENGLISH,PHIL,,O,PA03,2008,5/13/2008,8135707
164,HONORABLE,ESHOO,ANNA G.,,A,CA14,2008,5/15/2008,8135709
165,HONORABLE,ESHOO,ANNA G.,,O,CA14,2008,5/14/2008,8135708
166,HONORABLE,ETHERIDGE,BOB,,O,NC02,2008,5/14/2008,8135710
167,HONORABLE,EVERETT,TERRY,,A,AL02,2008,6/16/2008,8138625
168,HONORABLE,EVERETT,TERRY,,O,AL02,2008,5/14/2008,8135711
169,HONORABLE,FALEOMAVAEGA,ENI F. H.,,O,AS00,2008,5/15/2008,8135712
170,HONORABLE,FALLIN,MARY,,O,OK05,2008,5/8/2008,8135713
171,HONORABLE,FARR,SAM,,A,CA17,2008,7/9/2008,8138829
172,HONORABLE,FARR,SAM,,O,CA17,2008,5/14/2008,8135714
173,HONORABLE,FATTAH,CHAKA,,A,PA02,2008,7/10/2008,8138830
174,HONORABLE,FATTAH,CHAKA,,O,PA02,2008,5/15/2008,8135715
175,HONORABLE,FEENEY,TOM,,O,FL24,2008,5/15/2008,8135716
176,HONORABLE,FERGUSON,MIKE,,O,NJ07,2008,5/15/2008,8135717
177,,FILNER,BOB,,O,CA51,2008,5/15/2008,8135718
178,HONORABLE,FLAKE,JEFF,,A,AZ06,2008,5/14/2009,8140038
179,HONORABLE,FLAKE,JEFF,,O,AZ06,2008,5/15/2008,8135719
180,HONORABLE,FORBES,J. RANDY,,O,VA04,2008,6/16/2008,8138626
181,HONORABLE,FORTENBERRY,JEFF,,O,NE01,2008,5/15/2008,8135720
182,HONORABLE,FORTUNO,LUIS G.,,A,PR00,2008,6/5/2008,8138011
183,HONORABLE,FORTUNO,LUIS G.,,O,PR00,2008,5/13/2008,8135721
184,HONORABLE,FOSSELLA,VITO,,O,NY13,2008,9/15/2008,8139242
185,HONORABLE,FOSTER,BILL,,O,IL14,2008,5/15/2008,8135722
186,HONORABLE,FOXX,VIRGINIA,,O,NC05,2008,5/13/2008,8135723
187,HONORABLE,FRANK,BARNEY,,O,MA04,2008,5/14/2008,8135724
188,HONORABLE,FRANKS,TRENT,,O,AZ02,2008,5/15/2008,8135725
189,HONORABLE,FRELINGHUYSEN,RODNEY P.,,O,NJ11,2008,5/14/2008,8135726
190,HONORABLE,GALLEGLY,ELTON,,A,CA24,2008,5/19/2008,8135728
191,HONORABLE,GALLEGLY,ELTON,,O,CA24,2008,5/15/2008,8135727
192,HONORABLE,GARRETT,SCOTT,,A,NJ05,2008,6/20/2008,8138712
193,HONORABLE,GARRETT,SCOTT,,O,NJ05,2008,5/15/2008,8135729
194,HONORABLE,GERLACH,JIM,,A,PA06,2008,6/23/2008,8138764
195,HONORABLE,GERLACH,JIM,,O,PA06,2008,6/10/2008,8138012
196,HONORABLE,GIFFORDS,GABRIELLE,,A,AZ08,2008,12/31/2008,8139574
197,HONORABLE,GIFFORDS,GABRIELLE,,O,AZ08,2008,8/14/2008,8139054
198,HONORABLE,GILCHREST,WAYNE T.,,A,MD01,2008,7/17/2008,8138892
199,HONORABLE,GILCHREST,WAYNE T.,,O,MD01,2008,5/7/2008,8135730
200,HONORABLE,GILLIBRAND,KIRSTEN E.,,O,NY20,2008,5/14/2008,8135731
201,HONORABLE,GINGREY,PHIL,,A,GA11,2008,8/15/2008,8139055
202,HONORABLE,GINGREY,PHIL,,A,GA11,2008,9/5/2008,8139206
203,HONORABLE,GINGREY,PHIL,,A,GA11,2008,6/26/2009,8142908
204,HONORABLE,GINGREY,PHIL,,O,GA11,2008,6/26/2008,8138787
205,HONORABLE,GOHMERT,LOUIE,,O,TX01,2008,5/15/2008,8135732
206,HONORABLE,GONZALEZ,CHARLES A.,,O,TX20,2008,4/30/2008,8207029
207,HONORABLE,GOODE,VIRGIL H.,JR.,O,VA05,2008,5/14/2008,8135734
208,HONORABLE,GOODLATTE,BOB,,O,VA06,2008,5/15/2008,8135735
209,HONORABLE,GORDON,BART,,O,TN06,2008,7/15/2008,8138893
210,HONORABLE,GRANGER,KAY,,O,TX12,2008,6/20/2008,8138744
211,HONORABLE,GRAVES,SAM,,O,MO06,2008,5/13/2008,8135736
212,HONORABLE,GREEN,AL,,O,TX09,2008,5/14/2008,8135737
213,HONORABLE,GREEN,GENE,,O,TX29,2008,5/15/2008,8135738
214,HONORABLE,GRIJALVA,RAUL M.,,O,AZ07,2008,6/16/2008,8138634
215,HONORABLE,GUTIERREZ,LUIS V.,,A,IL04,2008,9/12/2012,8208302
216,HONORABLE,GUTIERREZ,LUIS V.,,O,IL04,2008,5/15/2008,8135739
217,HONORABLE,HALL,JOHN J.,,A,NY19,2008,9/17/2008,8139244
218,HONORABLE,HALL,JOHN J.,,O,NY19,2008,8/12/2008,8139056
219,HONORABLE,HALL,RALPH M.,,O,TX04,2008,4/29/2008,8135846
220,HONORABLE,HARE,PHIL,,O,IL17,2008,5/15/2008,8135847
221,HONORABLE,HARMAN,JANE,,A,CA36,2008,6/26/2008,8138788
222,HONORABLE,HARMAN,JANE,,A,CA36,2008,5/15/2009,8140039
223,HONORABLE,HARMAN,JANE,,O,CA36,2008,5/14/2008,8135848
224,HONORABLE,HASTINGS,ALCEE L.,,O,FL23,2008,5/1/2008,8135849
225,HONORABLE,HASTINGS,DOC,,O,WA04,2008,5/14/2008,8135850
226,HONORABLE,HAYES,ROBIN,,O,NC08,2008,5/15/2008,8139202
227,,HEINRICH,MARTIN,,A,NM01,2008,5/22/2017,9110829
228,HONORABLE,HELLER,DEAN,,A,NV02,2008,10/6/2008,8139318
229,HONORABLE,HELLER,DEAN,,O,NV02,2008,5/15/2008,8135852
230,HONORABLE,HENSARLING,JEB,,A,TX05,2008,7/14/2008,8138894
231,HONORABLE,HENSARLING,JEB,,O,TX05,2008,5/15/2008,8135853
232,HONORABLE,HERGER,WALLY,,O,CA02,2008,6/16/2008,8138635
233,HONORABLE,HERSETH SANDLIN,STEPHANIE,,O,SD00,2008,5/15/2008,8135854
234,HONORABLE,HIGGINS,BRIAN,,O,NY27,2008,5/9/2008,8135855
235,HONORABLE,HILL,BARON P.,,A,IN09,2008,10/1/2008,8139282
236,HONORABLE,HILL,BARON P.,,O,IN09,2008,5/15/2008,8135856
237,HONORABLE,HINCHEY,MAURICE D.,,O,NY22,2008,5/15/2008,8135857
238,HONORABLE,HINCHEY,MAURICE D.,,A,NY22,2008,10/22/2008,8139374
239,HONORABLE,HINOJOSA,RUBEN,,O,TX15,2008,5/14/2008,8135858
240,HONORABLE,HIRONO,MAZIE K.,,O,HI02,2008,6/9/2008,8138013
241,HONORABLE,HOBSON,DAVID L.,,O,OH07,2008,5/15/2008,8135859
242,HONORABLE,HODES,PAUL W.,,O,NH02,2008,6/16/2008,8138627
243,HONORABLE,HOEKSTRA,PETER,,O,MI02,2008,6/4/2008,8138014
244,HONORABLE,HOLDEN,TIM,,O,PA17,2008,5/15/2008,8135860
245,HONORABLE,HOLT,RUSH D.,,O,NJ12,2008,5/14/2008,8135861
246,HONORABLE,HONDA,MICHAEL M.,,O,CA15,2008,5/15/2008,8135862
247,HONORABLE,HONDA,MICHAEL M.,,A,CA15,2008,5/12/2009,8140040
248,HONORABLE,HOOLEY,DARLENE,,A,OR05,2008,5/15/2008,8135864
249,HONORABLE,HOOLEY,DARLENE,,A,OR05,2008,4/14/2009,8139919
250,HONORABLE,HOOLEY,DARLENE,,O,OR05,2008,5/14/2008,8135863
251,HONORABLE,HOYER,STENY H.,,O,MD05,2008,5/14/2008,8135865
252,HONORABLE,HULSHOF,KENNY C.,,A,MO09,2008,6/12/2008,8138282
253,HONORABLE,HULSHOF,KENNY C.,,O,MO09,2008,5/15/2008,8135866
254,HONORABLE,HUNTER,DUNCAN,,A,CA52,2008,6/12/2008,8138329
255,HONORABLE,HUNTER,DUNCAN,,O,CA52,2008,5/15/2008,8135867
256,HONORABLE,INGLIS,BOB,,O,SC04,2008,5/14/2008,8135868
257,HONORABLE,INSLEE,JAY,,O,WA01,2008,5/14/2008,8135869
258,HONORABLE,ISRAEL,STEVE,,O,NY02,2008,5/15/2008,8135870
259,HONORABLE,ISSA,DARRELL E.,,A,CA49,2008,6/25/2008,8138790
260,HONORABLE,ISSA,DARRELL E.,,O,CA49,2008,6/25/2008,8138789
261,HONORABLE,JACKSON,JESSE L.,JR.,A,IL02,2008,1/15/2009,8139606
262,HONORABLE,JACKSON,JESSE L.,JR.,O,IL02,2008,5/15/2008,8135871
263,HONORABLE,JACKSON-LEE,SHEILA,,O,TX18,2008,6/13/2008,8138499
264,HONORABLE,JEFFERSON,WILLIAM J.,,A,LA02,2008,6/18/2008,8138709
265,HONORABLE,JEFFERSON,WILLIAM J.,,O,LA02,2008,5/15/2008,8135872
266,HONORABLE,JOHNSON,EDDIE BERNICE,,O,TX30,2008,5/15/2008,8135873
267,HONORABLE,JOHNSON,"HENRY C. ""HANK""",JR.,O,GA04,2008,5/15/2008,8135874
268,HONORABLE,JOHNSON,SAM,,O,TX03,2008,5/13/2008,8135875
269,HONORABLE,JOHNSON,TIMOTHY V.,,O,IL15,2008,5/9/2008,8135876
270,HONORABLE,JONES,STEPHANIE TUBBS,,O,OH11,2008,5/15/2008,8135877
271,HONORABLE,JONES,WALTER B.,,O,NC03,2008,5/13/2008,8135878
272,HONORABLE,JONES,WALTER B.,,A,NC03,2008,8/12/2016,9109911
273,HONORABLE,JORDAN,JIM,,O,OH04,2008,5/14/2008,8135879
274,HONORABLE,JORDAN,JIM,,A,OH04,2008,6/18/2008,8138641
275,HONORABLE,KAGEN,STEVE,,O,WI08,2008,5/15/2008,8135880
276,HONORABLE,KANJORSKI,PAUL E.,,A,PA11,2008,7/17/2008,8138895
277,HONORABLE,KANJORSKI,PAUL E.,,O,PA11,2008,5/14/2008,8135881
278,HONORABLE,KAPTUR,MARCY,,O,OH09,2008,5/14/2008,8135882
279,HONORABLE,KENNEDY,PATRICK J.,,O,RI01,2008,5/15/2008,8135885
280,HONORABLE,KILDEE,DALE E.,,O,MI05,2008,5/8/2008,8135884
281,HONORABLE,KILPATRICK,CAROLYN C.,,O,MI13,2008,5/15/2008,8135887
282,HONORABLE,KIND,RON,,O,WI03,2008,5/15/2008,8135886
283,HONORABLE,KING,PETER T.,,A,NY03,2008,6/2/2008,8138301
284,HONORABLE,KING,PETER T.,,O,NY03,2008,5/15/2008,8135888
285,HONORABLE,KING,STEVE,,O,IA05,2008,5/15/2008,8135889
286,HONORABLE,KINGSTON,JACK,,O,GA01,2008,9/12/2008,8139240
287,HONORABLE,KIRK,MARK STEVEN,,O,IL10,2008,5/15/2008,8135890
288,HONORABLE,KLEIN,RON,,O,FL22,2008,5/15/2008,8135892
289,HONORABLE,KLINE,JOHN,,O,MN02,2008,5/14/2008,8135891
290,HONORABLE,KNOLLENBERG,JOE,,A,MI09,2008,7/29/2008,8138980
291,HONORABLE,KNOLLENBERG,JOE,,O,MI09,2008,5/13/2008,8135893
292,HONORABLE,KUCINICH,DENNIS J.,,O,OH10,2008,5/15/2008,8135894
293,HONORABLE,KUHL,"JOHN R. ""RANDY""",JR.,O,NY29,2008,5/15/2008,8135895
294,HONORABLE,LAHOOD,RAY,,A,IL18,2008,7/9/2008,8138831
295,HONORABLE,LAHOOD,RAY,,O,IL18,2008,5/15/2008,8135896
296,HONORABLE,LAMBORN,DOUG,,A,CO05,2008,6/25/2008,8138791
297,HONORABLE,LAMBORN,DOUG,,O,CO05,2008,5/15/2008,8135897
298,HONORABLE,LAMBORN,DOUG,,A,CO05,2008,6/20/2008,8138746
299,HONORABLE,LAMPSON,NICK,,O,TX22,2008,5/15/2008,8135898
300,HONORABLE,LANGEVIN,JAMES R.,,A,RI02,2008,5/15/2009,8140010
301,HONORABLE,LANGEVIN,JAMES R.,,A,RI02,2008,10/8/2010,8149143
302,HONORABLE,LANGEVIN,JAMES R.,,O,RI02,2008,5/15/2008,8135899
303,HONORABLE,LARSEN,RICK,,O,WA02,2008,5/14/2008,8135901
304,HONORABLE,LARSON,JOHN B.,,O,CT01,2008,5/15/2008,8135900
305,HONORABLE,LATHAM,TOM,,O,IA04,2008,5/15/2008,8135902
306,HONORABLE,LATOURETTE,STEVEN C.,,O,OH14,2008,5/15/2008,8135903
307,HONORABLE,LATTA,ROBERT E.,,O,OH05,2008,5/12/2008,8135904
308,HONORABLE,LEE,BARBARA,,A,CA09,2008,5/14/2009,8140041
309,HONORABLE,LEE,BARBARA,,O,CA09,2008,5/15/2008,8135905
310,HONORABLE,LEVIN,SANDER M.,,O,MI12,2008,5/15/2008,8135906
311,HONORABLE,LEWIS,JERRY,,O,CA41,2008,5/13/2008,8135907
312,HONORABLE,LEWIS,JOHN,,A,GA05,2008,4/29/2009,8139948
313,HONORABLE,LEWIS,JOHN,,O,GA05,2008,6/16/2008,8138628
314,HONORABLE,LEWIS,RON,,O,KY02,2008,5/14/2008,8135908
315,HONORABLE,LINDER,JOHN,,O,GA07,2008,6/12/2008,8138281
316,HONORABLE,LIPINSKI,DANIEL,,O,IL03,2008,5/15/2008,8135909
317,HONORABLE,LOBIONDO,FRANK A.,,O,NJ02,2008,5/13/2008,8135910
318,HONORABLE,LOEBSACK,DAVID,,O,IA02,2008,5/15/2008,8135911
319,HONORABLE,LOFGREN,ZOE,,A,CA16,2008,5/7/2009,8140042
320,HONORABLE,LOFGREN,ZOE,,O,CA16,2008,6/16/2008,8138632
321,HONORABLE,LOWEY,NITA M.,,O,NY18,2008,5/15/2008,8135986
322,HONORABLE,LUCAS,FRANK D.,,O,OK03,2008,5/13/2008,8135913
323,HONORABLE,LUNGREN,DANIEL E.,,O,CA03,2008,5/15/2008,8135914
